startDateTime,endDateTime,bioTempMean,bioTempMinimum,bioTempMaximum,bioTempVariance,bioTempNumPts,bioTempExpUncert,bioTempStdErMean,finalQF
"2023-11-01T00:00:00Z","2023-11-01T00:30:00Z",7.08,6.75,7.26,0.01,1800.00,0.56,0.00,0
"2023-11-01T00:30:00Z","2023-11-01T01:00:00Z",6.70,6.49,6.86,0.01,1800.00,0.56,0.00,0
"2023-11-01T01:00:00Z","2023-11-01T01:30:00Z",6.76,6.44,6.99,0.02,1800.00,0.56,0.00,0
"2023-11-01T01:30:00Z","2023-11-01T02:00:00Z",6.14,5.54,6.84,0.14,1800.00,0.56,0.01,0
"2023-11-01T02:00:00Z","2023-11-01T02:30:00Z",5.16,4.83,5.58,0.06,1800.00,0.56,0.01,0
"2023-11-01T02:30:00Z","2023-11-01T03:00:00Z",4.59,4.26,4.93,0.04,1800.00,0.56,0.00,0
"2023-11-01T03:00:00Z","2023-11-01T03:30:00Z",4.39,4.22,4.57,0.01,1800.00,0.56,0.00,0
"2023-11-01T03:30:00Z","2023-11-01T04:00:00Z",4.89,4.52,5.10,0.01,1800.00,0.56,0.00,0
"2023-11-01T04:00:00Z","2023-11-01T04:30:00Z",4.93,4.72,5.11,0.01,1800.00,0.56,0.00,0
"2023-11-01T04:30:00Z","2023-11-01T05:00:00Z",4.97,4.70,5.12,0.01,1800.00,0.56,0.00,0
"2023-11-01T05:00:00Z","2023-11-01T05:30:00Z",4.59,3.80,5.07,0.09,1800.00,0.56,0.01,0
"2023-11-01T05:30:00Z","2023-11-01T06:00:00Z",4.23,3.86,4.43,0.01,1800.00,0.56,0.00,0
"2023-11-01T06:00:00Z","2023-11-01T06:30:00Z",4.03,3.74,4.30,0.02,1800.00,0.56,0.00,0
"2023-11-01T06:30:00Z","2023-11-01T07:00:00Z",3.80,3.51,4.01,0.01,1800.00,0.56,0.00,0
"2023-11-01T07:00:00Z","2023-11-01T07:30:00Z",3.53,2.79,3.99,0.08,1800.00,0.56,0.01,0
"2023-11-01T07:30:00Z","2023-11-01T08:00:00Z",2.75,2.39,3.17,0.02,1800.00,0.56,0.00,0
"2023-11-01T08:00:00Z","2023-11-01T08:30:00Z",2.30,1.96,2.75,0.05,1800.00,0.56,0.01,0
"2023-11-01T08:30:00Z","2023-11-01T09:00:00Z",1.90,1.34,2.22,0.03,1800.00,0.56,0.00,0
"2023-11-01T09:00:00Z","2023-11-01T09:30:00Z",1.38,0.89,1.69,0.03,1800.00,0.56,0.00,0
"2023-11-01T09:30:00Z","2023-11-01T10:00:00Z",0.81,0.26,1.13,0.04,1800.00,0.56,0.00,0
"2023-11-01T10:00:00Z","2023-11-01T10:30:00Z",0.78,0.55,1.00,0.01,1800.00,0.56,0.00,0
"2023-11-01T10:30:00Z","2023-11-01T11:00:00Z",0.45,0.19,0.65,0.01,1800.00,0.56,0.00,0
"2023-11-01T11:00:00Z","2023-11-01T11:30:00Z",0.29,0.06,4.17,0.09,1800.00,0.56,0.01,0
"2023-11-01T11:30:00Z","2023-11-01T12:00:00Z",0.05,-0.17,0.25,0.01,1800.00,0.56,0.00,0
"2023-11-01T12:00:00Z","2023-11-01T12:30:00Z",-0.09,-0.24,0.04,0.00,1800.00,0.56,0.00,0
"2023-11-01T12:30:00Z","2023-11-01T13:00:00Z",0.35,-0.13,0.83,0.09,1800.00,0.56,0.01,0
"2023-11-01T13:00:00Z","2023-11-01T13:30:00Z",0.97,0.76,1.21,0.01,1800.00,0.56,0.00,0
"2023-11-01T13:30:00Z","2023-11-01T14:00:00Z",1.20,0.96,1.55,0.03,1800.00,0.56,0.00,0
"2023-11-01T14:00:00Z","2023-11-01T14:30:00Z",3.39,1.52,6.38,1.39,1800.00,0.56,0.03,0
"2023-11-01T14:30:00Z","2023-11-01T15:00:00Z",4.25,2.70,6.99,2.10,1800.00,0.57,0.03,0
"2023-11-01T15:00:00Z","2023-11-01T15:30:00Z",5.38,3.14,13.49,6.37,1800.00,0.58,0.06,0
"2023-11-01T15:30:00Z","2023-11-01T16:00:00Z",12.39,5.76,16.04,8.12,1800.00,0.58,0.07,0
"2023-11-01T16:00:00Z","2023-11-01T16:30:00Z",10.98,7.18,14.48,3.06,1800.00,0.57,0.04,0
"2023-11-01T16:30:00Z","2023-11-01T17:00:00Z",12.32,8.50,16.28,3.50,1794.00,0.57,0.04,0
"2023-11-01T17:00:00Z","2023-11-01T17:30:00Z",10.97,7.76,15.84,4.38,1800.00,0.57,0.05,0
"2023-11-01T17:30:00Z","2023-11-01T18:00:00Z",9.67,7.52,16.02,3.99,1476.00,0.57,0.05,1
"2023-11-01T18:00:00Z","2023-11-01T18:30:00Z",10.07,7.62,13.75,2.33,1800.00,0.57,0.04,0
"2023-11-01T18:30:00Z","2023-11-01T19:00:00Z",8.40,7.45,9.67,0.24,1800.00,0.56,0.01,0
"2023-11-01T19:00:00Z","2023-11-01T19:30:00Z",8.74,6.88,13.64,2.11,1800.00,0.57,0.03,0
"2023-11-01T19:30:00Z","2023-11-01T20:00:00Z",11.89,9.41,14.02,1.68,1800.00,0.56,0.03,0
"2023-11-01T20:00:00Z","2023-11-01T20:30:00Z",8.90,6.62,11.17,1.81,1800.00,0.57,0.03,0
"2023-11-01T20:30:00Z","2023-11-01T21:00:00Z",7.18,6.06,8.71,0.56,1800.00,0.56,0.02,0
"2023-11-01T21:00:00Z","2023-11-01T21:30:00Z",5.65,4.69,6.34,0.20,1800.00,0.56,0.01,0
"2023-11-01T21:30:00Z","2023-11-01T22:00:00Z",4.34,3.66,4.98,0.10,1800.00,0.56,0.01,0
"2023-11-01T22:00:00Z","2023-11-01T22:30:00Z",3.30,2.81,3.70,0.08,1800.00,0.56,0.01,0
"2023-11-01T22:30:00Z","2023-11-01T23:00:00Z",2.19,1.76,2.85,0.09,1800.00,0.56,0.01,0
