startDateTime,endDateTime,bioTempMean,bioTempMinimum,bioTempMaximum,bioTempVariance,bioTempNumPts,bioTempExpUncert,bioTempStdErMean,finalQF
"2023-01-01T00:00:00Z","2023-01-01T00:30:00Z",9.24,8.98,9.69,0.02,1800.00,0.56,0.00,0
"2023-01-01T00:30:00Z","2023-01-01T01:00:00Z",8.62,8.34,9.07,0.04,1800.00,0.56,0.00,0
"2023-01-01T01:00:00Z","2023-01-01T01:30:00Z",8.06,7.79,8.39,0.03,1800.00,0.56,0.00,0
"2023-01-01T01:30:00Z","2023-01-01T02:00:00Z",8.02,7.75,8.22,0.01,1800.00,0.56,0.00,0
"2023-01-01T02:00:00Z","2023-01-01T02:30:00Z",8.18,7.77,8.49,0.04,1800.00,0.56,0.00,0
"2023-01-01T02:30:00Z","2023-01-01T03:00:00Z",7.49,7.16,7.86,0.02,1800.00,0.56,0.00,0
"2023-01-01T03:00:00Z","2023-01-01T03:30:00Z",7.14,6.96,7.42,0.01,1800.00,0.56,0.00,0
"2023-01-01T03:30:00Z","2023-01-01T04:00:00Z",7.40,7.02,7.87,0.07,1800.00,0.56,0.01,0
"2023-01-01T04:00:00Z","2023-01-01T04:30:00Z",7.35,6.97,7.74,0.04,1800.00,0.56,0.00,0
"2023-01-01T04:30:00Z","2023-01-01T05:00:00Z",7.31,7.00,7.65,0.04,1800.00,0.56,0.00,0
"2023-01-01T05:00:00Z","2023-01-01T05:30:00Z",7.03,6.80,7.34,0.01,1800.00,0.56,0.00,0
"2023-01-01T05:30:00Z","2023-01-01T06:00:00Z",6.83,6.67,6.97,0.00,1800.00,0.56,0.00,0
"2023-01-01T06:00:00Z","2023-01-01T06:30:00Z",7.00,6.75,7.26,0.01,1800.00,0.56,0.00,0
"2023-01-01T06:30:00Z","2023-01-01T07:00:00Z",6.93,6.77,7.12,0.01,1800.00,0.56,0.00,0
"2023-01-01T07:00:00Z","2023-01-01T07:30:00Z",6.85,6.69,6.99,0.00,1800.00,0.56,0.00,0
"2023-01-01T07:30:00Z","2023-01-01T08:00:00Z",6.73,6.45,7.04,0.02,1800.00,0.56,0.00,0
"2023-01-01T08:00:00Z","2023-01-01T08:30:00Z",6.67,6.40,6.93,0.01,1800.00,0.56,0.00,0
