startDateTime,endDateTime,bioTempMean,bioTempMinimum,bioTempMaximum,bioTempVariance,bioTempNumPts,bioTempExpUncert,bioTempStdErMean,finalQF
"2023-04-01T00:00:00Z","2023-04-01T00:30:00Z",15.43,15.14,15.87,0.02,1800.00,0.56,0.00,0
"2023-04-01T00:30:00Z","2023-04-01T01:00:00Z",15.66,15.38,16.13,0.02,1800.00,0.56,0.00,0
"2023-04-01T01:00:00Z","2023-04-01T01:30:00Z",15.76,15.53,16.43,0.02,1800.00,0.56,0.00,0
"2023-04-01T01:30:00Z","2023-04-01T02:00:00Z",15.97,15.55,16.46,0.04,1800.00,0.56,0.00,0
"2023-04-01T02:00:00Z","2023-04-01T02:30:00Z",16.38,16.01,16.90,0.04,1800.00,0.56,0.00,0
"2023-04-01T02:30:00Z","2023-04-01T03:00:00Z",16.40,15.88,16.88,0.05,1800.00,0.56,0.01,0
"2023-04-01T03:00:00Z","2023-04-01T03:30:00Z",16.35,15.82,17.37,0.12,1800.00,0.56,0.01,0
"2023-04-01T03:30:00Z","2023-04-01T04:00:00Z",17.28,16.73,17.97,0.05,1800.00,0.56,0.01,0
"2023-04-01T04:00:00Z","2023-04-01T04:30:00Z",17.31,16.89,17.77,0.03,1800.00,0.56,0.00,0
"2023-04-01T04:30:00Z","2023-04-01T05:00:00Z",17.44,17.03,17.96,0.04,1800.00,0.56,0.00,0
"2023-04-01T05:00:00Z","2023-04-01T05:30:00Z",17.59,17.15,18.06,0.04,1800.00,0.56,0.00,0
"2023-04-01T05:30:00Z","2023-04-01T06:00:00Z",17.88,17.26,18.48,0.06,1800.00,0.56,0.01,0
"2023-04-01T06:00:00Z","2023-04-01T06:30:00Z",18.02,17.47,18.67,0.05,1800.00,0.56,0.01,0
"2023-04-01T06:30:00Z","2023-04-01T07:00:00Z",18.35,17.65,19.20,0.12,1800.00,0.56,0.01,0
"2023-04-01T07:00:00Z","2023-04-01T07:30:00Z",18.59,18.11,19.10,0.05,1800.00,0.56,0.01,0
"2023-04-01T07:30:00Z","2023-04-01T08:00:00Z",18.66,18.15,19.29,0.06,1800.00,0.56,0.01,0
"2023-04-01T08:00:00Z","2023-04-01T08:30:00Z",18.85,18.45,19.26,0.02,1800.00,0.56,0.00,0
"2023-04-01T08:30:00Z","2023-04-01T09:00:00Z",16.75,16.30,19.11,0.21,1800.00,0.56,0.01,0
"2023-04-01T09:00:00Z","2023-04-01T09:30:00Z",16.68,16.51,16.98,0.01,1800.00,0.56,0.00,0
"2023-04-01T09:30:00Z","2023-04-01T10:00:00Z",16.77,16.60,16.99,0.01,1800.00,0.56,0.00,0
"2023-04-01T10:00:00Z","2023-04-01T10:30:00Z",16.27,15.26,16.86,0.26,1800.00,0.56,0.01,0
"2023-04-01T10:30:00Z","2023-04-01T11:00:00Z",14.83,14.35,15.33,0.09,1800.00,0.56,0.01,0
"2023-04-01T11:00:00Z","2023-04-01T11:30:00Z",13.06,12.42,14.37,0.43,1800.00,0.56,0.02,0
"2023-04-01T11:30:00Z","2023-04-01T12:00:00Z",12.34,11.97,12.63,0.04,1800.00,0.56,0.00,0
"2023-04-01T12:00:00Z","2023-04-01T12:30:00Z",12.51,11.97,12.84,0.05,1800.00,0.56,0.01,0
"2023-04-01T12:30:00Z","2023-04-01T13:00:00Z",13.14,12.62,14.28,0.09,1800.00,0.56,0.01,0
"2023-04-01T13:00:00Z","2023-04-01T13:30:00Z",14.31,13.64,14.84,0.04,1800.00,0.56,0.00,0
"2023-04-01T13:30:00Z","2023-04-01T14:00:00Z",14.41,13.90,15.33,0.08,1800.00,0.56,0.01,0
"2023-04-01T14:00:00Z","2023-04-01T14:30:00Z",15.69,14.37,17.58,0.80,1800.00,0.56,0.02,0
"2023-04-01T14:30:00Z","2023-04-01T15:00:00Z",19.48,16.47,23.29,3.22,1800.00,0.57,0.04,0
"2023-04-01T15:00:00Z","2023-04-01T15:30:00Z",21.05,19.08,23.79,1.12,1800.00,0.56,0.02,0
"2023-04-01T15:30:00Z","2023-04-01T16:00:00Z",19.65,17.85,21.94,0.52,1800.00,0.56,0.02,0
"2023-04-01T16:00:00Z","2023-04-01T16:30:00Z",21.94,18.34,25.63,3.76,1800.00,0.57,0.05,0
"2023-04-01T16:30:00Z","2023-04-01T17:00:00Z",24.27,21.01,28.84,2.40,1800.00,0.57,0.04,0
"2023-04-01T17:00:00Z","2023-04-01T17:30:00Z",23.56,19.86,26.91,1.97,1800.00,0.57,0.03,0
"2023-04-01T17:30:00Z","2023-04-01T18:00:00Z",24.12,19.90,30.86,7.74,1799.00,0.58,0.07,0
"2023-04-01T18:00:00Z","2023-04-01T18:30:00Z",,,,,,,,1
"2023-04-01T18:30:00Z","2023-04-01T19:00:00Z",,,,,,,,1
"2023-04-01T19:00:00Z","2023-04-01T19:30:00Z",26.00,22.13,29.23,1.90,1800.00,0.56,0.03,0
"2023-04-01T19:30:00Z","2023-04-01T20:00:00Z",29.22,25.42,32.19,2.15,1800.00,0.57,0.03,0
"2023-04-01T20:00:00Z","2023-04-01T20:30:00Z",28.03,23.05,32.39,5.63,1800.00,0.57,0.06,0
"2023-04-01T20:30:00Z","2023-04-01T21:00:00Z",25.62,21.32,30.35,4.83,1800.00,0.57,0.05,0
"2023-04-01T21:00:00Z","2023-04-01T21:30:00Z",23.48,21.39,27.49,1.51,1800.00,0.56,0.03,0
"2023-04-01T21:30:00Z","2023-04-01T22:00:00Z",20.43,18.66,24.07,2.47,1800.00,0.57,0.04,0
"2023-04-01T22:00:00Z","2023-04-01T22:30:00Z",18.40,17.87,19.07,0.08,1800.00,0.56,0.01,0
