startDateTime,endDateTime,bioTempMean,bioTempMinimum,bioTempMaximum,bioTempVariance,bioTempNumPts,bioTempExpUncert,bioTempStdErMean,finalQF
"2021-03-01T00:00:00Z","2021-03-01T00:30:00Z",19.06,18.40,19.86,0.10,1800.00,0.47,0.01,0
"2021-03-01T00:30:00Z","2021-03-01T01:00:00Z",19.50,18.85,20.31,0.14,1800.00,0.47,0.01,0
"2021-03-01T01:00:00Z","2021-03-01T01:30:00Z",19.90,19.54,20.45,0.04,1800.00,0.47,0.00,0
"2021-03-01T01:30:00Z","2021-03-01T02:00:00Z",19.77,19.44,20.15,0.02,1800.00,0.47,0.00,0
"2021-03-01T02:00:00Z","2021-03-01T02:30:00Z",19.76,19.34,20.22,0.03,1800.00,0.47,0.00,0
"2021-03-01T02:30:00Z","2021-03-01T03:00:00Z",19.48,18.82,20.11,0.07,1800.00,0.47,0.01,0
"2021-03-01T03:00:00Z","2021-03-01T03:30:00Z",19.34,18.88,19.94,0.05,1800.00,0.47,0.01,0
"2021-03-01T03:30:00Z","2021-03-01T04:00:00Z",19.69,19.17,20.10,0.04,1800.00,0.47,0.00,0
"2021-03-01T04:00:00Z","2021-03-01T04:30:00Z",19.82,19.29,20.41,0.05,1800.00,0.47,0.01,0
"2021-03-01T04:30:00Z","2021-03-01T05:00:00Z",19.75,19.06,20.43,0.10,1800.00,0.47,0.01,0
"2021-03-01T05:00:00Z","2021-03-01T05:30:00Z",19.60,19.01,20.06,0.05,1800.00,0.47,0.01,0
"2021-03-01T05:30:00Z","2021-03-01T06:00:00Z",19.56,18.95,20.22,0.06,1800.00,0.47,0.01,0
"2021-03-01T06:00:00Z","2021-03-01T06:30:00Z",19.81,19.30,20.33,0.05,1800.00,0.47,0.01,0
"2021-03-01T06:30:00Z","2021-03-01T07:00:00Z",19.88,19.57,20.27,0.02,1800.00,0.47,0.00,0
"2021-03-01T07:00:00Z","2021-03-01T07:30:00Z",17.98,15.00,19.97,2.50,1800.00,0.47,0.04,0
"2021-03-01T07:30:00Z","2021-03-01T08:00:00Z",14.65,14.24,15.11,0.05,1800.00,0.47,0.01,0
"2021-03-01T08:00:00Z","2021-03-01T08:30:00Z",14.27,14.16,14.37,0.00,1800.00,0.47,0.00,0
"2021-03-01T08:30:00Z","2021-03-01T09:00:00Z",14.20,14.11,14.31,0.00,1800.00,0.47,0.00,0
"2021-03-01T09:00:00Z","2021-03-01T09:30:00Z",14.10,13.77,14.28,0.02,1800.00,0.47,0.00,0
"2021-03-01T09:30:00Z","2021-03-01T10:00:00Z",13.64,13.53,13.81,0.00,1800.00,0.47,0.00,0
"2021-03-01T10:00:00Z","2021-03-01T10:30:00Z",13.58,13.53,13.63,0.00,1800.00,0.47,0.00,0
"2021-03-01T10:30:00Z","2021-03-01T11:00:00Z",13.48,13.38,13.59,0.00,1800.00,0.47,0.00,0
"2021-03-01T11:00:00Z","2021-03-01T11:30:00Z",13.29,13.15,13.42,0.00,1800.00,0.47,0.00,0
"2021-03-01T11:30:00Z","2021-03-01T12:00:00Z",13.14,13.00,13.26,0.00,1800.00,0.47,0.00,0
"2021-03-01T12:00:00Z","2021-03-01T12:30:00Z",12.79,12.61,13.05,0.01,1800.00,0.47,0.00,0
"2021-03-01T12:30:00Z","2021-03-01T13:00:00Z",12.56,12.44,12.71,0.00,1800.00,0.47,0.00,0
"2021-03-01T13:00:00Z","2021-03-01T13:30:00Z",12.36,12.11,12.54,0.01,1800.00,0.47,0.00,0
"2021-03-01T13:30:00Z","2021-03-01T14:00:00Z",12.16,12.02,12.24,0.00,1800.00,0.47,0.00,0
"2021-03-01T14:00:00Z","2021-03-01T14:30:00Z",12.23,12.07,12.37,0.00,1800.00,0.47,0.00,0
"2021-03-01T14:30:00Z","2021-03-01T15:00:00Z",12.31,12.16,12.54,0.01,1800.00,0.47,0.00,0
"2021-03-01T15:00:00Z","2021-03-01T15:30:00Z",12.67,12.46,12.94,0.01,1800.00,0.47,0.00,0
"2021-03-01T15:30:00Z","2021-03-01T16:00:00Z",13.12,12.84,13.28,0.01,1800.00,0.47,0.00,0
"2021-03-01T16:00:00Z","2021-03-01T16:30:00Z",13.24,13.09,13.43,0.00,1800.00,0.47,0.00,0
"2021-03-01T16:30:00Z","2021-03-01T17:00:00Z",13.24,13.08,13.36,0.00,1800.00,0.47,0.00,0
"2021-03-01T17:00:00Z","2021-03-01T17:30:00Z",12.19,10.08,13.29,1.07,1800.00,0.47,0.02,0
"2021-03-01T17:30:00Z","2021-03-01T18:00:00Z",9.23,8.87,10.20,0.09,1800.00,0.47,0.01,0
"2021-03-01T18:00:00Z","2021-03-01T18:30:00Z",8.86,8.69,9.01,0.00,1800.00,0.47,0.00,0
"2021-03-01T18:30:00Z","2021-03-01T19:00:00Z",9.05,8.78,9.37,0.02,1800.00,0.47,0.00,0
"2021-03-01T19:00:00Z","2021-03-01T19:30:00Z",9.46,9.24,9.75,0.01,1800.00,0.47,0.00,0
"2021-03-01T19:30:00Z","2021-03-01T20:00:00Z",9.81,9.60,10.05,0.01,1800.00,0.47,0.00,0
"2021-03-01T20:00:00Z","2021-03-01T20:30:00Z",9.41,8.98,9.78,0.03,1800.00,0.47,0.00,0
"2021-03-01T20:30:00Z","2021-03-01T21:00:00Z",9.04,8.80,9.23,0.00,1800.00,0.47,0.00,0
"2021-03-01T21:00:00Z","2021-03-01T21:30:00Z",8.57,8.29,9.04,0.05,1800.00,0.47,0.01,0
"2021-03-01T21:30:00Z","2021-03-01T22:00:00Z",8.30,7.95,8.44,0.00,1800.00,0.47,0.00,0
"2021-03-01T22:00:00Z","2021-03-01T22:30:00Z",7.93,7.60,8.25,0.02,1800.00,0.47,0.00,0
"2021-03-01T22:30:00Z","2021-03-01T23:00:00Z",7.28,6.94,7.77,0.05,1800.00,0.47,0.01,0
"2021-03-01T23:00:00Z","2021-03-01T23:30:00Z",6.69,6.40,7.12,0.02,1800.00,0.47,0.00,0
"2021-03-01T23:30:00Z","2021-03-02T00:00:00Z",6.31,5.97,6.59,0.02,1800.00,0.47,0.00,0
"2021-03-02T00:00:00Z","2021-03-02T00:30:00Z",5.87,5.41,6.14,0.02,1800.00,0.47,0.00,0
"2021-03-02T00:30:00Z","2021-03-02T01:00:00Z",5.44,5.27,5.60,0.00,1800.00,0.47,0.00,0
"2021-03-02T01:00:00Z","2021-03-02T01:30:00Z",5.20,4.87,5.41,0.01,1800.00,0.47,0.00,0
"2021-03-02T01:30:00Z","2021-03-02T02:00:00Z",4.80,4.61,5.00,0.01,1800.00,0.47,0.00,0
"2021-03-02T02:00:00Z","2021-03-02T02:30:00Z",4.31,3.88,4.72,0.05,1800.00,0.47,0.01,0
"2021-03-02T02:30:00Z","2021-03-02T03:00:00Z",3.86,3.76,3.94,0.00,1800.00,0.47,0.00,0
"2021-03-02T03:00:00Z","2021-03-02T03:30:00Z",3.95,3.88,4.05,0.00,1800.00,0.47,0.00,0
"2021-03-02T03:30:00Z","2021-03-02T04:00:00Z",3.92,3.86,3.99,0.00,1800.00,0.47,0.00,0
"2021-03-02T04:00:00Z","2021-03-02T04:30:00Z",3.95,3.85,4.03,0.00,1800.00,0.47,0.00,0
"2021-03-02T04:30:00Z","2021-03-02T05:00:00Z",3.73,3.52,3.92,0.01,1800.00,0.47,0.00,0
"2021-03-02T05:00:00Z","2021-03-02T05:30:00Z",3.50,3.45,3.59,0.00,1800.00,0.47,0.00,0
"2021-03-02T05:30:00Z","2021-03-02T06:00:00Z",3.48,3.41,3.53,0.00,1800.00,0.47,0.00,0
"2021-03-02T06:00:00Z","2021-03-02T06:30:00Z",3.40,3.25,3.46,0.00,1800.00,0.47,0.00,0
"2021-03-02T06:30:00Z","2021-03-02T07:00:00Z",3.11,2.99,3.29,0.01,1800.00,0.47,0.00,0
"2021-03-02T07:00:00Z","2021-03-02T07:30:00Z",2.94,2.86,3.03,0.00,1800.00,0.47,0.00,0
"2021-03-02T07:30:00Z","2021-03-02T08:00:00Z",2.87,2.76,2.96,0.00,1800.00,0.48,0.00,0
"2021-03-02T08:00:00Z","2021-03-02T08:30:00Z",2.75,2.63,2.89,0.00,1800.00,0.48,0.00,0
"2021-03-02T08:30:00Z","2021-03-02T09:00:00Z",2.53,2.33,2.73,0.01,1800.00,0.48,0.00,0
"2021-03-02T09:00:00Z","2021-03-02T09:30:00Z",2.16,1.96,2.37,0.01,1800.00,0.48,0.00,0
"2021-03-02T09:30:00Z","2021-03-02T10:00:00Z",1.87,1.70,2.02,0.01,1800.00,0.48,0.00,0
"2021-03-02T10:00:00Z","2021-03-02T10:30:00Z",1.62,1.52,1.76,0.00,1800.00,0.48,0.00,0
"2021-03-02T10:30:00Z","2021-03-02T11:00:00Z",1.62,1.51,1.70,0.00,1800.00,0.48,0.00,0
"2021-03-02T11:00:00Z","2021-03-02T11:30:00Z",1.74,1.68,1.80,0.00,1800.00,0.48,0.00,0
"2021-03-02T11:30:00Z","2021-03-02T12:00:00Z",1.76,1.71,1.82,0.00,1800.00,0.48,0.00,0
"2021-03-02T12:00:00Z","2021-03-02T12:30:00Z",1.79,1.70,1.90,0.00,1800.00,0.48,0.00,0
"2021-03-02T12:30:00Z","2021-03-02T13:00:00Z",2.02,1.83,2.27,0.01,1800.00,0.48,0.00,0
"2021-03-02T13:00:00Z","2021-03-02T13:30:00Z",2.61,2.21,2.96,0.04,1800.00,0.48,0.00,0
"2021-03-02T13:30:00Z","2021-03-02T14:00:00Z",3.31,2.91,3.69,0.04,1800.00,0.47,0.00,0
"2021-03-02T14:00:00Z","2021-03-02T14:30:00Z",3.88,3.55,4.17,0.02,1800.00,0.47,0.00,0
"2021-03-02T14:30:00Z","2021-03-02T15:00:00Z",4.43,4.05,4.73,0.03,1800.00,0.47,0.00,0
